business_name,address,inspection_date,years_alive
A' NH- LINH RESTUARANT,1032 W ARGYLE ST ,10/11/2011,1
BABA PITA,1032 W LAKE ST ,07/06/2015,1
BABA PITA,1032 W LAKE ST ,08/06/2014,1
MCDONALDS #490,10320 S KEDZIE AVE ,03/09/2012,0
SOUTH EAST PRODUCE & MEATS,10325 S TORRENCE AVE ,01/15/2015,0
INDIE BURGER,1034 W BELMONT AVE ,01/28/2013,1
SWEET TAMARIND THAI CUISINE,1034 W BELMONT AVE ,09/20/2013,0
"ABIQUIU CAFE, INC",1034 W BELMONT AVE ,12/19/2012,1
"ABIQUIU CAFE,INC",1034 W BELMONT AVE ,05/16/2011,1
"VENUE ONE, LLC",1034 W RANDOLPH ST ,09/17/2013,4
CHOICE CHINA WOK,10341 S HALSTED ST ,06/26/2014,3
CHOICE CHINA WOK,10341 S HALSTED ST ,05/02/2014,0
"CHOICE CHINA WOK, INC.",10341 S HALSTED ST ,08/24/2012,1
MURDOCK'S MEMORABLE MEALS,10343 S HALSTED ST ,12/18/2013,2
HOOK FISH & CHICKEN,10343 S HALSTED ST ,10/03/2012,0
HONG SIK IN,10350 S TORRENCE AVE ,03/06/2014,3
HIENIE'S,10359 S TORRENCE AVE ,03/03/2016,2
GOLDEN FOODS SPINACH PIE INC,1036 N KILBOURN AVE ,02/09/2015,0
ZANZIBAR CAFE AND ICE CREAM SHOPPE,1036 W BRYN MAWR AVE ,01/16/2015,1
ZANZABAR,1036 W BRYN MAWR AVE ,04/24/2012,3
EXPRESS PANTRY INC,1036 W BRYN MAWR AVE ,04/24/2012,0
GIORDANO'S ON BELMONT,1036-1040 W BELMONT AVE ,12/17/2015,1
Beyond The Ivy,1038 W WAVELAND AVE ,06/27/2011,5
THE LORALI,1039 W LAWRENCE AVE ,02/04/2014,3
GRANDMA CHEESE CAKE'S CATERING,10400 S HALSTED ST ,04/18/2013,4
CHICAGO AL'S,10401 S MUSKEGON AVE ,06/13/2013,0
Maiz,1041 N CALIFORNIA AVE ,05/25/2012,1
Kohn,10414 S State ,09/28/2012,1
EL PUESTECITO,10429 1/2 S EWING AVE ,07/22/2014,1
EL ENCANTO RESTAURANT,10429 1/2 S EWING AVE ,06/20/2012,2
PUPUSERIA EL EXCELENTE,10429 1/2 S EWING AVE ,06/07/2012,0
3 ABEJAS,10429 S EWING AVE ,05/18/2015,1
PIEROGI STREET,1043 N CALIFORNIA AVE ,06/10/2017,0
POLAK EATERY,1043 N CALIFORNIA AVE ,09/10/2014,1
Monogramme Events & Catering LLC,1043 N CALIFORNIA AVE ,09/08/2014,0
TIPSYCAKE,1043 N CALIFORNIA AVE ,12/06/2013,0
MAICHEF CUISINE INC.,1043 N CALIFORNIA AVE ,03/20/2012,1
CARMINE'S CLAM HOUSE INC,1043 N RUSH ST ,07/02/2013,2
SUBWAY AT NORWEGIAN AMERICAN HOSPITAL,1044 N FRANCISCO AVE ,07/31/2013,4
SCHLENKO INC.,1044 W WAVELAND AVE ,06/16/2011,5
REAL COMFORT AMERICAN KITCHEN,1045 W MADISON ST ,08/21/2014,2
The Westminster Hot Dog,1045 W MADISON ST ,09/19/2013,0
Jerry's Sandwiches,1045 W MADISON ST ,03/20/2012,0
CHINESE LANTERN,1046 W ARGYLE ST ,04/25/2012,1
CAFE CIAT,1046-1/2 W ARGYLE ST ,05/18/2016,1
CHINESE LANTERN BISTRO,1046-1/2 W ARGYLE ST ,02/23/2015,1
BEYOND THE IVY INC,1048 W WAVELAND AVE ,04/07/2016,0
WRIGLEY,1048 W WAVELAND AVE ,06/16/2011,5
S & S LEARNING CENTER INCORPORATED,1049 E 73RD ST ,08/08/2013,2
PREMIER SCHOLASTIC PRESCHOOLS,1049 E 73RD ST ,08/08/2013,0
PREMIER SCHOLASTIC PRESCHOOLS,1049 E 73RD ST ,08/08/2013,0
"103 CHICKEN & MORE, INC.",1049 W 103RD ST ,11/04/2015,2
Z & Z WINGS,1049 W 103RD ST ,09/10/2012,3
AYA SEASHELL,1049 W 103RD ST ,09/10/2012,0
SEASHELL FISH & CHICKEN,1049 W 103RD ST ,09/10/2012,0
SEASHELL FISH AND CHICKEN,1049 W 103RD ST ,12/12/2011,1
THE ABUNDANCE BAKERY,105 E 47TH ST ,04/20/2012,4
JAFFA BAKERY,105 W MADISON ST ,07/23/2013,0
BANH MI EXPRESS SANDWISH,105 W MADISON ST ,08/21/2013,0
JAFFA BAKERY,105 W MADISON ST ,09/19/2013,0
JAFFA BAKERY,105 W MADISON ST ,04/10/2012,0
Roma Pizza&Pasta,105 W MADISON ST ,06/07/2011,0
Waveland Baseball Club,1050 W WAVELAND AVE ,07/27/2011,0
"ROOFTOP BY THE FIREHOUSE, INC.",1050 W WAVELAND AVE ,11/09/2010,1
EL RANCHO,10500 S EWING AVE ,08/16/2012,2
LITTLE ANGELS ACADEMY & KINDERGARTEN,10501 S TORRENCE AVE ,06/19/2014,2
SAND BAKE,1051 W GRANVILLE AVE ,08/23/2013,2
THE AOK FLAT BREAD PANINI SHOP,1051 W GRANVILLE AVE ,06/03/2011,1
Carnicerias Guanajuato,1051-1053 N ASHLAND AVE ,01/22/2014,1
CARNICERIA & FRUTERIA LAURA,1051-1053 N ASHLAND AVE ,10/17/2012,0
CARNICERIA GUANAJUATO #2,1051-1053 N ASHLAND AVE ,09/07/2012,0
CARMICHAEL'S CHICAGO STEAK HSE,1052 W MONROE ST ,10/23/2013,2
CITGO,1053 W 103RD ST ,06/21/2013,1
JEANNY'S CHINESE RESTAURANT,1053 W BELMONT AVE ,10/11/2013,0
JIN CAFE,1053 W BELMONT AVE ,10/01/2013,0
NEW  JEANNY'S RESTAURANT INC,1053 W BELMONT AVE ,02/03/2012,0
"EL SELECTO PRODUCTS, L.L.C.",10532 S TORRENCE AVE ,03/16/2011,5
TAQUERIA  EL TACONCITO,10536 S TORRENCE AVE ,07/25/2012,2
EL TACONCITO,10536 S TORRENCE AVE ,04/26/2010,2
NEW LIONS DEN RESTAURANT,10543 S EWING AVE ,11/01/2012,2
7-ELEVEN #33732,1055 W BRYN MAWR AVE ,10/17/2012,0
BEEF SHACK,1056 W BELMONT AVE ,09/08/2016,1
CORNERSTORE ENTERPRISE,1056 W BELMONT AVE ,02/21/2013,0
CHE CAFE,1058 W TAYLOR ST ,01/19/2012,0
UKAI SUSHI,1059 W BELMONT AVE ,07/19/2010,2
TAYLOR FOOD MART,1059 W TAYLOR ST ,09/29/2016,1
CUBBY BEAR LOUNGE LTD,1059-1065 W ADDISON ST ,03/30/2011,2
Kids Count Too Daycare,106 W 119TH ST ,07/21/2011,0
