,block#,#business_with_liquor,#crimes,#arrests
832,3327,12,0,0
833,333,6,0,0
834,3330,3,0,0
835,3333,2,0,0
836,3339,5,0,0
837,334,7,0,0
838,3341,2,0,0
839,336,4,0,0
840,337,3,0,0
841,338,3,0,0
842,339,6,0,0
843,33999,2,0,0
844,34,1,0,0
845,3411,1,0,0
846,3413,1,0,0
847,3414,2,0,0
848,3416,1,0,0
849,3418,1,0,0
850,3427,1,0,0
851,3431,5,0,0
852,3438,1,0,0
853,3443,2,0,0
854,3447,4,0,0
855,345,2,0,0
856,3454,1,0,0
857,3455,3,0,0
858,3457,1,0,0
859,3459,2,0,0
860,346,2,0,0
861,3467,1,0,0
862,3469,3,0,0
863,347,1,0,0
864,35,1,0,0
865,3511,9,0,0
866,3512,15,0,0
867,3513,1,0,0
868,3516,3,0,0
869,3517,14,0,0
870,3519,4,0,0
871,3520,4,0,0
872,3521,1,0,0
873,3522,1,0,0
874,3524,14,0,0
875,3525,3,0,0
876,3526,7,0,0
877,3528,8,0,0
878,3530,1,0,0
879,3531,6,0,0
880,3532,1,0,0
881,3534,2,0,0
882,3535,3,0,0
883,354,7,0,0
884,355,5,0,0
885,356,7,0,0
886,3560,10,0,0
887,3562,3,0,0
888,35999,6,0,0
889,361,2,0,0
890,3611,6,0,0
891,3612,4,0,0
892,3613,8,0,0
893,3614,2,0,0
894,3617,1,0,0
895,3619,3,0,0
896,362,2,0,0
897,3620,1,0,0
898,3624,1,0,0
899,3626,3,0,0
900,3627,4,0,0
901,3628,6,0,0
902,3629,1,0,0
903,363,5,0,0
904,3636,1,0,0
905,3639,6,0,0
906,3640,3,0,0
907,3641,3,0,0
908,3642,1,0,0
909,3646,2,0,0
910,3647,3,0,0
911,3650,2,0,0
912,3652,9,0,0
913,3653,4,0,0
914,3655,2,0,0
915,366,5,0,0
916,367,10,0,0
917,3712,1,0,0
918,3713,1,0,0
919,3714,1,0,0
920,3718,1,0,0
921,3719,1,0,0
922,372,10,0,0
923,3722,2,0,0
924,3723,4,0,0
925,3724,3,0,0
926,3725,2,0,0
927,3726,1,0,0
928,3728,4,0,0
929,3729,2,0,0
930,373,2,0,0
931,3731,1,0,0
932,3732,1,0,0
933,3733,1,0,0
934,3736,1,0,0
935,374,2,0,0
936,3740,1,0,0
937,3741,1,0,0
938,3743,5,0,0
939,3744,1,0,0
940,3746,3,0,0
941,3747,1,0,0
942,3749,1,0,0
943,3751,3,0,0
944,376,1,0,0
945,377,1,0,0
946,378,2,0,0
947,38,1,0,0
948,3811,1,0,0
949,3812,1,0,0
950,3813,3,0,0
951,3815,1,0,0
952,3821,8,0,0
953,3823,6,0,0
954,3829,1,0,0
955,383,5,0,0
956,3832,2,0,0
957,3833,2,0,0
958,3835,3,0,0
959,3837,6,0,0
960,3838,3,0,0
961,3840,6,0,0
962,3842,1,0,0
963,3843,1,0,0
964,3844,8,0,0
965,3845,3,0,0
966,3847,6,0,0
967,3848,2,0,0
968,3849,3,0,0
969,385,5,0,0
970,3851,4,0,0
971,3852,1,0,0
972,3854,5,0,0
973,387,1,0,0
974,388,6,0,0
975,389,3,0,0
976,3910,2,0,0
977,3911,4,0,0
978,3912,2,0,0
979,3914,2,0,0
980,3915,1,0,0
981,3916,4,0,0
982,3917,3,0,0
983,3919,2,0,0
984,3921,3,0,0
985,3924,2,0,0
986,3925,3,0,0
987,3926,3,0,0
988,3928,7,0,0
989,3929,4,0,0
990,393,1,0,0
991,3930,1,0,0
992,3932,5,0,0
993,3934,2,0,0
994,3935,2,0,0
995,3938,1,0,0
996,3939,1,0,0
997,3941,3,0,0
998,3943,1,0,0
999,3946,4,0,0
1000,3948,3,0,0
1001,3949,2,0,0
1002,3951,11,0,0
1003,3952,1,0,0
1004,396,3,0,0
1005,397,3,0,0
1006,398,3,0,0
1007,399,6,0,0
1008,4,5,0,0
1009,41,10,0,0
1010,410,3,0,0
1011,412,1,0,0
1012,413,1,0,0
1013,414,1,0,0
1014,417,2,0,0
1015,418,31,0,0
1016,420,1,0,0
1017,421,2,0,0
1018,425,3,0,0
1019,426,2,0,0
1020,43,4,0,0
1021,437,7,0,0
1022,44,3,0,0
1023,44047,3,0,0
1024,443,7,0,0
1025,447,17,0,0
1026,449,48,0,0
1027,45,2,0,0
1028,452,2,0,0
1029,454,18,0,0
1030,455,2,0,0
1031,458,18,0,0
1032,461,1,0,0
1033,47,2,0,0
1034,48,5,0,0
1035,49,2,0,0
1036,40,1,0,0
1037,401,10,0,0
1038,4010,5,0,0
1039,4011,2,0,0
1040,4014,15,0,0
1041,4015,21,0,0
1042,4018,1,0,0
1043,4019,1,0,0
1044,402,7,0,0
1045,4020,2,0,0
1046,4021,4,0,0
1047,4022,1,0,0
1048,4023,8,0,0
1049,4024,2,0,0
1050,4025,3,0,0
1051,4026,4,0,0
1052,4027,5,0,0
1053,4028,5,0,0
1054,4029,13,0,0
1055,4030,1,0,0
1056,4031,7,0,0
1057,4033,7,0,0
1058,4036,9,0,0
1059,4037,2,0,0
1060,4039,2,0,0
1061,4040,6,0,0
1062,4041,1,0,0
1063,4042,10,0,0
1064,4043,21,0,0
1065,4044,11,0,0
1066,4045,4,0,0
1067,4049,3,0,0
1068,406,7,0,0
1069,408,4,0,0
1070,409,2,0,0
1071,41,5,0,0
1072,4116,4,0,0
1073,4119,4,0,0
1074,4121,3,0,0
1075,4122,2,0,0
1076,4123,8,0,0
1077,4126,1,0,0
1078,4127,27,0,0
1079,4128,7,0,0
1080,4129,4,0,0
1081,413,9,0,0
1082,4132,3,0,0
1083,4135,1,0,0
1084,4137,1,0,0
1085,4138,1,0,0
1086,4139,1,0,0
1087,4141,1,0,0
1088,4144,2,0,0
1089,4145,3,0,0
